marco e il nonno preparano l’occorrente per la pesca||||MARCO+NONNO+OCCORRENTE+PREPARARE+(PRESENTE)+PESCA
fortunatamente il leone, che aveva assistito alla scena, con una zampata distrusse la tela e liberò la piccolina dicendo: "eccoti salvata mia cara amica. ricordati che esiste sempre qualcuno più forte di te! e questo me lo hai insegnato proprio tu!"||||LEONE+ZAMPATA+DISTUGGERE+TELA+LIBERARE+ZANZARA+E+DIRE+(PASSATO)+ESISTERE+FORTE+INSEGNARE
la zanzara, da quel giorno imparò a tenere un po' a freno la propria spavalderia.||||ZANZARA+IMPARARE+CONTROLLARE+SPAVALDERIA+(PASSATO)
le persone troppo sicure di sé riescono, a volte, a superare gli ostacoli più grossi ma inciampano spesso nelle difficoltà più piccole.||||PERSONE+SICURE+SUPERARE+OSTACOLI+GROSSI+INCIAMPARE+DIFFICOLTÀ+PICCOLE+(PASSATO)
ciascun uomo porta due bisacce, una davanti, l'altra dietro, e ciascuna delle due è piena di difetti,||||UOMO+CIASCUNO+BISACCIA+DUE,+UNO+DAVENTE,+UNO+DIETRO+BISACCIA+DUE+CIASCUNO+DIFETTO+PIENO
ma quella davanti è piena dei difetti altrui, quella dietro dei difetti dello stesso che la porta.||||MA+BISACCIA+DAVENTE+DIFETTO+ALTRUI+PIENO,+BISACCIA+DIETRO+DIFETTO+PROPRIO+PIENO
e per questo gli uomini non vedono i difetti che vengono da loro stessi,||||UOMINI+DIFETTO+PROPRIO+(PRESENTARE)+NON+VEDERE,+CAUSA+QUESTO
mentre vedono assai perfettamente quelli altrui||||MENTRE+DIFETTO+ALTRUI+PERFETTAMENTE+VEDERE
un pastorello conduceva ogni giorno le sue pecorelle a pascolare.||||PASTORELLO+PECORE+(CONDURRE,+PASSATO)+OGNI+GIORNO+PASCOLARE
si annoiava molto e così decise di fare uno scherzo a tutta la gente del villaggio.||||PASTORELLO+GENTE+VILLAGGIO+(ANNOIARSI,+PASSATO)+MOLTO+E+(DECIDERE,+PASSATO)+SCHERZO
aiuto… al lupo al lupo. cominciò allora a gridare con quanto fiato aveva in gola.||||(GRITARE,+PASSATO)+AIUTO+LUPO+FIATO
tutti i contadini accorsero armati di forconi e randelli, ma quando arrivarono nel grande prato...||||CONTADINI+FORCONI+RANDELLI+(ACCORRERE,+PASSATO)+PERO+(ARRIVARE,+PASSATO)+PRATO
...non videro neanche l'ombra del lupo. il pastorello rideva a crepapelle.||||CONTADINI+LUPO+OMBRA+(VEDERE,+PASSATO)+NON+PASTORELLO+(RIDERE,+PASSATO)
era solo uno scherzo e voi ci siete cascati!||||SCHERZO+SOLO+VOI+(CADERE,+PASSATO)
qualche giorno dopo ripeté lo stesso e i contadini allarmati giunsero di corsa là sul prato.||||GIORNO+QUALCHE+PASTORELLO+(RIPETERE,+PASSATO)+LO+STESSO+CONTADINI+(GIUNGERE,+PASSATO)+PRATO
presto si accorsero che il pastorello si era giocato un'altra volta di loro.||||CONTADINI+PASTORELLO+(ACCORGERSI,+PASSATO)+GIOCARE+ALTRO+VOLTA
un giorno arrivò d'improvviso un intero branco di lupi; il pastorello cominciò a gridare disperatamente:||||GIORNO+LUPI+BRANCO+INTERO+(ARRIVARE,+PASSATO)+PASTORELLO+(GRITARE,+PASSATO)+DISPERATAMENTE
al lupo al lupo.||||LUPO
ma i contadini, credendo a un altro scherzo, non si mossero più.||||CONTADINI+SCHERZO+ALTRO+(CREDERE,+PASSATO)+NON+MUOVERSI
indisturbati, i lupi, fecero strage di pecore e agnelli.||||LUPI+(STRAGE+FARE,+PASSATO)+PECORE+AGNELLI
una volta un'aquila fu catturata da un uomo.||||UOMO+AQUILA+(CATTURARE)(PASSATO)
questi le mozzò le ali e poi la lasciò andare, perché vivesse in mezzo al pollame di casa.||||UOMO+AQUILA+ALI+(MOZZARE)(PASSATO)+POLLAME+CASA+(LASCIARE)(PASSATO)
l'aquila stava a capo chino e non mangiava più per il dolore: sembrava un re in catene.||||AQUILA+CAPO+CHINO+DOLORE+RE+CATENE+(SEMBRARE)(PASSATO)+(MANGIARE)(PASSATO)+(MANGIARE)(PASSATO)
poi la comperò un altro, il quale le strappò le penne mozze e, con un unguento di mirra, gliele fece ricrescere.||||ALTRO+(COMPRARE)(PASSATO)+AQUILA+PENNE+MOZZE+UNGUENTO+MIRRA+(RICRESCERE)(PASSATO)
allora l'aquila prese il volo, afferrò con gli artigli una lepre e gliela portò in dono.||||AQUILA+(PRENDERE)(PASSATO)+VOLO+ARTIGLI+LEPRE+(PORTARE)(PASSATO)+DONO
ma la volpe che la vide, ammonì:||||VOLPE+AQUILA+(VEDERE)(PASSATO)+(AMMONIRE)(PASSATO)
"i regali non devi farli a questo, ma piuttosto al padrone di prima: questo è già buono per natura; l'altro invece è meglio che tu lo rabbonisca, perché non ti privi delle ali se ti acchiappa di nuovo".||||TU+REGALI+(FARE)(FUTURO)+PADRONE+PRIMO+BUONO+NATURA+ALTRO+(RABBONIRE)(FUTURO)+ALI+(PRIVARE)(FUTURO)+(ACCHIAPPARE)(FUTURO)
sta bene ricambiare generosamente i benefattori, ma bisogna anche guardarsi prudentemente dai malvagi.||||(RICAMBIARE)(FUTURO)+GENEROSAMENTE+BENEFACTORI+(GUARDARSI)(FUTURO)+PRUDENTEMENTE+MALVAGI
un'aquila inseguiva una lepre per catturarla.||||AQUILA+LEPRE+(INSEGUIRE+PASSATO)
questa non sapeva come trovare aiuto; così, visto uno scarafaggio, il solo essere in cui il caso la fece imbattere, si diede a supplicarlo.||||LEPRE+SCARAFAGGIO+(VEDERE+PASSATO)+(SUPPLICARE+PASSATO)
lo scarafaggio la rassicurò e, appena l'aquila gli si avvicinò, prese a scongiurarla perché non gli portasse via la povera lepre.||||SCARAFAGGIO+AQUILA+(APPRESSARESI+PASSATO)+(RASSICURARE+PASSATO)+(SCONGIURARE+PASSATO)+NON+PORTARE+VIA+LEPRE
ma l'aquila non si curò di quel piccolo insetto nero e divorò la lepre proprio sotto i suoi occhi.||||AQUILA+INSETTO+NERO+PICCOLO+(CURARESI+PASSATO)+NON+AQUILA+LEPRE+(DIVORARE+PASSATO)+OCCHIO
memore dell'offesa, lo scarafaggio, da allora, prese a seguire l'aquila con costanza:||||SCARAFAGGIO+OFFESA+(RICORDARE+PASSATO)+AQUILA+(SEGUIRE+PASSATO)+COSTANZA
osservava i luoghi dove quella faceva il nido e deponeva le uova; volava al nido, si posava sulle uova e le faceva rotolare provocandone la rottura.||||SCARAFAGGIO+LUOGHI+NIDO+(OSSERVARE+PASSATO)+AQUILA+UOVA+(DEPORRE+PASSATO)+UOVA+(POSARESSI+PASSATO)+UOVA+(ROLLARE+PASSATO)+(ROMPERE+PASSATO)
cacciata da tutti i luoghi, l'aquila un giorno si rivolse a giove e lo pregò di procurarle un luogo sicuro, dove poter fare le sue covate.||||AQUILA+LUOGHI+TUTTI+(CACCIA+PASSATO)+GIOVE+(RIVOLGERE+PASSATO)+(PREGARE+PASSATO)+PROCURARE+LUOGO+SICURO+COVATE
giove le permise di deporre le uova nel proprio grembo.||||GIOVE+PERMETTERE+AQUILA+UOVA+(DEPORRE+FUTURO)+GREMBO
ma lo scarafaggio ideò uno stratagemma: fece una pallottola di sterco, volò sopra il grembo di giove e ve lo lasciò cadere.||||SCARAFAGGIO+(IDEARE+PASSATO)+STRATAGEMMA+PALLOTTOLA+STERCO+(VOLARE+PASSATO)+GREMBO+GIOVE+(LASCIAIRE+PASSATO)+CADERE
il dio, per liberarsi da quella sporcizia, si alzò in piedi con uno scatto e, senza rendersene conto, fece cadere a terra le uova.||||DIO+SPORCIZIA+(LIBERARSI+PASSATO)+(ALZARSI+PASSATO)+SCATTO+SENZA+RENDERSI+CONTO+UOVA+(CADERE+PASSATO)+TERRA
da quel tempo, si dice che nella stagione in cui appaiono gli scarafaggi le aquile non facciano il nido.||||TEMPO+DA+QUEL+(DIRESI+FUTURO)+STAGIONE+SCARAFAGGIO+APPARIRE+AQUILA+NIDIFICARE+NON
un asino ed una volpe fecero amicizia e insieme se ne andarono a caccia.||||ASINO+VOLPE+AMICIZIA+FARE(PASSATO)+INSIEME+ANDARE(PASSATO)+CACCIA
incontrarono un leone dall'aria minacciosa.||||LEONE+ARIA+MINACCIOSO+INCONTRARE(PASSATO)
la volpe intuì il pericolo che stava correndo, gli si avvicinò e cominciò a parlargli: si impegnava a consegnargli l'asino, in cambio della sua salvezza.||||VOLPE+PERICOLO+INTUIRE(PASSATO)+AVVICINARE(PASSATO)+PARLARE(INIZIARE)+IMPEGNARE(INIZIARE)+CONSEGNARE(IMPERS)+ASINO+SALVEZZA
il leone le promise la libertà: così la volpe condusse l'asino verso una trappola e ce lo lasciò cadere.||||LEONE+PROMETTERE(PASSATO)+LIBERTÀ+VOLPE+CONDURRE(PASSATO)+ASINO+TRAPPOLA+LASCIO(PASSATO)+CADERE
il leone, appena vide che l'asino era nell'impossibilità di fuggire, assalì per primo la volpe e poi, con calma, ritornò ad occuparsi dell'animale che era caduto nella trappola.||||LEONE+VEDERE(IMPERS)+ASINO+IMPOSSIBILITÀ+FUGGIRE+ASSALIRE(INIZIARE)+VOLPET+RITORNARE+TRANQUILLO+OCCUPARE+ANIMALE+CADUTO
posato su un'alta quercia, un usignuolo, secondo il suo solito, cantava.||||QUERCIA+ALTA+USIGNUOLO+(CANTARE)(PASSATO)
lo scorse uno sparviero a corto di cibo, gli piombò addosso e se lo portò via.||||SPARVIERO+CIBO+CORTO+(VEDERE)(PASSATO)+USIGNUOLO+(PIOMBARE)(PASSATO)+(PORTARE_VIA)(PASSATO)
mentre stava per ucciderlo, l'usignuolo lo pregava di lasciarlo andare, dicendo che esso non bastava a riempire lo stomaco di uno sparviero: doveva rivolgersi a qualche uccello più grosso, se aveva bisogno di mangiare.||||SPARVIERO+USIGNUOLO+(UCCIDERE)(FUTURO)+USIGNUOLO+(PREGARE)(PASSATO)+TORNARE+(DIRE)(PASSATO)+CIBO+INSUFFICIENTE+UCCIELLO+GROSSO+(MANGIARE)(PASSATO)
ma l'altro lo interruppe, dicendo: "bello sciocco sarei, se lasciassi andare il pasto che ho qui pronto tra le mani, per correr dietro a quello che non si vede ancora!".||||USIGNUOLO+SPARVIERO+(INTERRUTTO)(PASSATO)+(DIRE)(PASSATO)+(LASCIA)(PASSATO)+PASTO+PRONTO+INSEGUIRE+INVISIBILE
così, anche tra gli uomini, stolti sono coloro che, nella speranza di beni maggiori, si lasciano sfuggire quello che hanno in mano.||||UOMINI+STOLTI+(SPERARE)(PASSATO)+BENI+MAGGIORI+(SFUGGIRE)(PASSATO)+AVERE
un giorno due scoiattolini piccoli, piccoli decisero di andare a fare un giro per il bosco.||||GIORNO+UNO+DUE+SCOIATTOLINI+PICCOLO+PICCOLO+DECIDERE+(PASSATO)+ANDARE+FARE+GIRO+BOSCO
però avendo paura di non ritrovare la strada di casa, lasciarono cadere delle noccioline per segnare il sentiero.||||STRADA+CASA+PAURA+NOCCIOLINA+CADERE+(PASSATO)+SEGNO+SENTIERO
dopo aver camminato e camminato arrivarono in un luogo che non avevano mai visto.||||LUOGO+NUOVO+ARRIVARE+(PASSATO)
quando decisero di tornare a casa cercarono di seguire la traccia delle noccioline, ma quelle non c'erano più.||||CASA+DECIDERE+(PASSATO)+TORNARE+NOCCIOLINA+TRACCIA+SEGUIRE+(PASSATO)+NOCCIOLE+NO
si spaventarono tantissimo e si misero a correre per cercare la casa, ma si persero.||||CASA+CERCARE+(PASSATO)+CORRERE+(PASSATO)+PERSO
si addormentarono vicino ad un albero e dormirono tutta la notte.||||ALBERO+VICINO+ADDORMENTARSI+(PASSATO)+DORMIRE+(PASSATO)+NOTTE+TUTTO
quando si svegliarono non sapevano più dov'erano.||||SVEGLIARSI+(PASSATO)+DOVE+NO+SAPERE
si guardarono intorno e si misero in cammino per cercare da mangiare.||||INTORNO+GUARDARE+(PASSATO)+CAMMINO+METTERSI+(PASSATO)+CIBO+CERCARE
trovarono un albero di noccioline sul quale si arrampicarono.||||ALBERO+NOCCIOLINE+TROVARE+(PASSATO)+ARRAMPICARSI+(PASSATO)
dopo aver mangiato le noccioline entrarono nell'albero per cercare rifugio.||||NOCCIOLINE+MANGIARE+(PASSATO)+ALBERO+ENTRARE+RIFUGIO+CERCARE
qui trovarono un coniglietto che li ospitò.||||CONIGLIETTO+TROVARE+(PASSATO)+OSPITARE
il coniglietto fece amicizia con gli scoiattolini.||||CONIGLIETTO+SCOIATTOLINI+AMICIZIA+FARE+(PASSATO)
i tre animaletti uscirono per giocare a nascondino.||||TRE+ANIMALETTI+USCIRE+GIOCARE+NASCONDINO
uno scoiattolino andò a nascondersi in un albero, gli sembrava molto famigliare, lo guardò bene e si accorse che era la sua casa.||||UNO+SCOIATTOLINO+ALBERO+NASCONDERSI+(PASSATO)+FAMIGLIARE+PARE+CASA+ESSERE+(PASSATO)+ACCORGERE+(PASSATO)+**
tutti felici e contenti tornarono alla loro dimora per riposarsi.||||DIMORA+LORO+TORNARE+(PASSATO)+RIPOSARE
i due scoiattolini decisero di non allontanarsi mai più dalla loro casetta.||||DUE+SCOIATTOLINI+DECIDERE+(PASSATO)+CASA+LORO+ALLONTANARSI+(FUTURO)+NO+MAI
c'era una volta una cittadina del west molto bella e fiorente.||||WEST+CITTADINA+VOLTA+UNA+ESSERE(PASSATO)+BELLO+FIORENTE
un giorno, però mentre si faceva una festa in occasione del compleanno del sindaco, ci fu una scossa di terremoto.||||GIORNO+UNO+MENTRE+FESTA+FARE(PRESENTE)+OCCASIONE+COMPLEANNO+SINDACO+SCOSSA+TERREMOTO+ESSERE(PASSATO)
gli abitanti del paese urlarono, si videro case crollare e strade spaccarsi.||||PAESE+ABITANTE+URLARE(PASSATO)+VEDERE(PASSATO)+CASA+CROLLARE+STRADA+SPACCARE
le persone che si salvarono, si rifugiarono nella miniera; di loro, in seguito, non si seppe più nulla.||||PERSONA+SALVARE(PASSATO)+RIFUGIARE(PASSATO)+MINIERA+LORO+SEGUIRE+SAPERE(FUTURO)+NULLA
poi la città fu in parte ricostruita.||||CITTÀ+PARTE+RICOSTRUIRE(PASSATO)
anni dopo, un gruppo di boyscout andarono in gita in quella città semidistrutta.||||ANNO+DOPO+GRUPPO+BOYSCOUT+ANDARE(PASSATO)+GITA+CITTÀ+SEMIDISTRUTTO
il capo scout appena sceso dal pulmino, andò a prenotare delle stanze in un albergo,||||CAPO+SCOUT+SCENDERE(PASSATO)+PULMINO+ANDARE(PASSATO)+PRENOTARE+STANZA+ALBERGO
poi uscì e andò dai suoi allievi per portarli a visitare la miniera abbandonata. entrarono.||||POI+USCIRE(PASSATO)+ANDARE(PASSATO)+ALLIEVO+PORTARE+VISITARE+MINIERA+ABBANDONATO+ENTRARE(PASSATO)
mentre camminavano, due bambini che si chiamavano jimmy e tom, si riposarono un momento appoggiandosi ad un muro||||MENTRE+CAMMINARE(PASSATO)+DUE+BAMBINO+CHIAMARSI(PASSATO)+JIMMY+TOM+RIPOSARE(PASSATO)+MOMENTO+APPOGGIARE+MURO
che girò su se stesso e jimmy e tom, finirono in un vagoncino della miniera.||||CHE+GIRARE(PASSATO)+SE+STESSO+JIMMY+TOM+FINIRE(PASSATO)+VAGONCINO+MINIERA
il vagoncino partì e andò a sbattere contro un muro. i due ragazzi sentirono dei rumori oltre il muro,||||VAGONCINO+PARTIRE(PASSATO)+ANDARE(PASSATO)+SBATTERE+MURO+DUE+RAGAZZO+SENTIRE(PASSATO)+RUMORE+OLTRE+MURO
così usarono il freno per abbattere il muro, che non era molto spesso.||||COSÌ+USARE(PASSATO)+FRENO+ABBATTERE+MURO+CHE+NON+ESSERE(PASSATO)+SPESSO
si ritrovarono in una stanza festeggiante, occupata da strani esseri che sembravano umani, ma trasparenti.||||RITROVARE(PASSATO)+STANZA+FESTEGGIANTE+OCCUPARE+ESSERE+STRANO+SEMBRARE(PASSATO)+UMANO+MA+TRASPARENTE
jimmy e tom urlarono e si agitarono, ma poi si tranquillizzarono.||||JIMMY+TOM+URLARE(PASSATO)+AGITARE(PASSATO)+MA+POI+TRANQUILLIZZARE(PASSATO)
queste persone erano i misteriosi fantasmi della miniera,||||PERSONA+ESSERE(PASSATO)+FANTASMA+MISTERIOSO+MINIERA
coloro che erano morti anni prima durante il terremoto.||||CHE+ESSERE(PASSATO)+MORIRE(PASSATO)+ANNO+PRIMA+DURANTE+TERREMOTO
l'unico modo per ritornare umani era bere l'acqua del fiume.||||UNICO+MODO+RITORNARE+UMANO+ESSERE(PASSATO)+BERE+ACQUA+FIUME
i due ragazzi allora corsero fuori dalla miniera per andare a prendere l'acqua.||||DUE+RAGAZZO+ALLORA+CORRERE(PASSATO)+FUORI+MINIERA+ANDARE(PASSATO)+PRENDERE+ACQUA
quando misero le mani nell'acqua, queste divennero invisibili.||||QUANDO+METTERE(PASSATO)+MANO+ACQUA+QUESTO+DIVENTARE(PASSATO)+INVISIBILE
tornarono alla miniera con l'acqua e quando l'ebbero data da bere ai fantasmi, le loro mani ricomparvero||||TORNARE(PASSATO)+MINIERA+ACQUA+QUANDO+DARE(PASSATO)+BERE+FANTASMA+LORO+MANO+RICOMPARIRE(PASSATO)
e i fantasmi tornarono uomini. così vissero tutti felici e contenti.||||E+FANTASMA+TORNARE(PASSATO)+UOMO+COSÌ+VIVERE(PASSATO)+TUTTI+FELICE+CONTENTO
papà ha mantenuto la promessa: accompagna andrea e davide al cinema a vedere il film del loro supereroe preferito.||||PAPÀ+PROMESSA+MANTENERE(PASSATO)+ANDREA+DAVIDE+CINEMA+FILM+SUPEREROE+VEDERE(PRESENTE)
dopo aver fatto i biglietti, il papà acquista una grande confezione di pop corn per i due bambini e gliela offre, raccomandando loro di dividerla senza litigare.||||PAPÀ+BIGLIETTO+FARE(PASSATO)+CONFEZIONE+GRANDE+POP+CORN+DUE+BAMBINO+OFFRIRE+RACCOMANDARE+DIVIDERE+SENZA+LITIGARE
